# Li & White 2009
# logM*, logdN/dlogM* [cMpc-3]
12.1084, -9.30952
12.1134, -9.38154
12.1184, -9.45433
12.1234, -9.52790
12.1284, -9.60226
12.1334, -9.67743
12.1384, -9.75342
12.1434, -9.83023
12.1484, -9.90787
12.1534, -9.98635
12.1584, -10.0657
      
